Cruise_Start_Date,Incident_Category,Incident_Subcategory,Room_Number,Guest_Type,Status,Department,Reference_Id,Added_Date,Description
2/7/2024,Embarkation ,Survey,12243S,VIP2,Closed-Resolved,Guest Services,SC-35194378805280851,2/7/2024 16:40,"Feb 7th around 14:30 RSM approached the Guest s during welcome event and offered some assistance. Guest s wanted to meet their RSA and fix dining reservations. RSM informed who their RSA was and they could have a seat untill she would check on them, in the meantime RSM took the Guest s to RS to fix their dining. A couple of minutes later RSM saw the Guest s heading to the elevators and followed up asking if all was fixed. Guest  Hugh promptly said:- Yes, it's all fine. However, Guest  Kimberly promptly said:- No, not at all. Both Guest s left. RSM gave the heads up to their RSA to follow up. "
2/7/2024,Pre Boarding ,Check,10188i,Regular Guest,Closed-Resolved,Guest Services,SC-32494320787161333,2/7/2024 16:56,HFM met with guests Lamont and Crystal who expressed their disappointment that they were never contacted back by the media team shore side regarding their request
2/7/2024,Luggage ,Damaged,10034P,Regular Guest,Closed-Resolved,Guest Services,SC-35194310892803205,2/7/2024 17:00,"2/7/24 GSA Adeliya - Guest  via SQ ""My suitcase arrived at room damaged"" GSA asks Guest  to bring luggage to SS 


"
2/7/2024,Luggage ,Damaged,12086P,Regular Guest,Closed-Resolved,Guest Services,SC-35195629236621688,2/7/2024 17:01,Luggage has a crack by the wheel 
2/7/2024,Luggage ,Damaged,8222P,Regular Guest,Closed-Resolved,Guest Services,SC-35194153026917479,2/7/2024 17:02,Luggage has a damaged handle
2/7/2024,Luggage ,Damaged,13026P,Regular Guest,Closed-Resolved,Guest Services,SC-35190592585162085,2/7/2024 17:03,Luggage has a crack in it 
2/7/2024,Luggage ,Damaged,9102S,Regular Guest,Closed-Resolved,Guest Services,SC-35187839845086598,2/7/2024 17:05,Luggage has a crack in it
2/7/2024,Luggage ,Damaged,13030S,Regular Guest,Closed-Resolved,Guest Services,SC-35190770670583240,2/7/2024 17:06,Luggage has a damaged wheel
2/7/2024,Room ,Room Safe,10026P,Regular Guest,Closed-Resolved,Housekeeping,SC-34477456029308509,2/7/2024 17:07,Room Safe
2/7/2024,Luggage ,Damaged,5190S,Regular Guest,Closed-Resolved,Guest Services,SC-35188017897170711,2/7/2024 17:08,Luggage has a damaged handle 
2/7/2024,Room ,Room Safe,11046P,Regular Guest,Cancelled,Housekeeping,SC-35190418225571938,2/7/2024 17:17,Room Safe
2/7/2024,Room ,Room Safe,11174P,Regular Guest,Closed-Resolved,Housekeeping,SC-35191139768180539,2/7/2024 17:20,Room Safe
2/7/2024,Room ,Room Safe,13158S,Regular Guest,Closed-Resolved,Housekeeping,SC-35191131832076049,2/7/2024 17:20,Room Safe
2/7/2024,Other,Other,14322P,Regular Guest,Closed-Resolved,Housekeeping,SC-35191809907258237,2/7/2024 17:24,02/07/2024 @0500pm AP/FM - RA reported that the guests want to open the balcony partition door  between the room 14322A & 14326A.
2/7/2024,Room ,Balcony Condition,11062S,Regular Guest,Closed-Resolved,Housekeeping,SC-35191876328299465,2/7/2024 17:32,The guest from 11058z and 11062z requests to open balcony partition
2/7/2024,Room ,Balcony Condition,11126P,Regular Guest,Closed-Resolved,Housekeeping,SC-34479118034616795,2/7/2024 17:34,Guest  from 11126a and 11130a request for the partition to open
2/7/2024,Luggage ,Damaged,8326S,Regular Guest,Closed-Resolved,Guest Services,SC-34479187219336390,2/7/2024 17:35,Luggage has a damaged wheel
2/7/2024,Room ,Balcony Condition,11346P,Regular Guest,Closed-Resolved,Housekeeping,SC-35193322712926501,2/7/2024 17:36,The guest from 11346a 11350a request for the balcony partition to be opened
2/7/2024,Account/Billing ,Bar Credit,12042P,Regular Guest,Closed-Resolved,Guest Services,SC-35198658716563290,2/7/2024 17:52,02/07/24 05:47PM GSA AC: The guests approached SS reported that they had problems with our App to add their BT. They said that the called the Customer service shore side and could not connect and were on hold so long and when they finally connected they were told it was too late to add BT. They were not happy as their friend who also faced the same problem in room 12034A was granted the BT and it was added. GSA extended apologies and advised that once the guests spent the $200 on drinks we will add a bonus bt of $25 on their account . Guest s agreed and were happy.
2/7/2024,Internet Connection ,No Connection (All cruise),10134P,Regular Guest,Closed-Resolved,Guest Services,SC-35197921394231225,2/7/2024 18:00,2/7/24 GSA Adeliya - Guest  purchase wi-fi accidently 
2/7/2024,Account/Billing ,Other,13082P,Regular Guest,Closed-Resolved,Guest Services,SC-32498685251745177,2/7/2024 18:08,02/07/24 Embarkation day GRM Angelica: 35387 Final Touch Roofing is presenting discrepancies in the loots/BT posted. email has been sent to Christopher Hunt (shoreside) for a further review. This has been logged for document purposes 
2/7/2024,Dining Experience ,Food,12330S,Regular Guest,Closed-Resolved,Restaurant,SC-32498860939891395,2/7/2024 18:11,"02/07/24 @17:00 GSA Barbara: Guest  Dorothy came to SS saying has severe food allergy to the following: Gluten, sugar, sweeteners, tomatoes, peppers, any red pepper, cayenne, paprika, cloves, peanuts. She is in the Special Needs form. Guest  would like to know what we can do for her in Bimini as she knows there are restricted options there."
2/7/2024,Experience Packages ,Missing Perk,11022P,Regular Guest,Closed-Resolved,Guest Services,SC-34481552248187223,2/7/2024 18:15,"02/07/2024 GSA JKG. 11022A
BK. 1060994
Guest  claims he is missing 300$ BT + 50$ Extra? 
he purchased this special last week. 
Please verify. 
Thankyou. 
X
S2S - Guest  did not pay fo rthe BT so it was removed from the booking"
2/7/2024,Internet Connection ,Other,13078P,Regular Guest,Closed-Resolved,Guest Services,SC-34481638653033145,2/7/2024 18:16,"5:21pm 2/7/2024 GSA SB - Guest  purchased premium wifi by mistake, would like to cancel it"
2/7/2024,Luggage ,Damaged,8042P,Regular Guest,Closed-Resolved,Guest Services,SC-34481624640749896,2/7/2024 18:16,Luggage has a damaged wheel
2/7/2024,Internet Connection ,Internet Speed / Quality,9011S,VIP2,Closed-Resolved,Guest Services,SC-35199186923888472,2/7/2024 18:21,02/07/2024 16:00 RSA LH: Guest s purchased the premium wifi in error. RSA mentioned the charge will be removed and they will have to log back onto the basic package. 
2/7/2024,Room ,Room Safe,8022P,Regular Guest,Closed-Resolved,Housekeeping,SC-34482169263423757,2/7/2024 18:25,Room Safe
2/7/2024,Dining Experience ,Food,10314P,Regular Guest,Closed-Resolved,Restaurant,SC-35195522143039095,2/7/2024 18:26,"Guest  had dinner in GB on 02/07 SV explained the menu and guests Bearry stated she would like to have the kalbi even she had Gluten allergy. RM approached the schedule guest and double check with her, she tham changes her mind and decided to have not marinated kalbi. "
2/7/2024,Loyalty Program ,Not on manifest,8011P,VIP2,Closed-Resolved,Guest Services,SC-34482404108407065,2/7/2024 18:29,02/07/2024 18:00 RSA LH: Guest  Brian does not have the DBP status on his account. Solutions advised.
2/7/2024,Dining Experience ,Food,13038S,Regular Guest,Closed-Resolved,Restaurant,SC-35202339838904234,2/7/2024 18:53,"Guest  had dinner in GB on 02/07 she was sit on table 17, she had the banchan as they comes, with shrimp paste, as she stated her allergy is very light. "
2/7/2024,Room ,TV / Room Controls,11282P,Regular Guest,Closed-Resolved,Housekeeping,SC-35197870111957515,2/7/2024 19:12,TV / Room Controls
2/7/2024,Dining Experience ,Issue w Venue Availability,13178P,Regular Guest,Closed-Resolved,Restaurant,SC-35203471027941945,2/7/2024 19:12,"Guest s arrived at the test kitchen and were seated at a table. However, they expressed discomfort with their seating arrangement and requested to be moved to a different table of their choice. After being relocated, they made a further request to be served by a specific server who was not assigned to their section. We accommodated these requests accordingly, ensuring that their dining experience was as comfortable and enjoyable as possible.
"
2/7/2024,Room ,Toilet Not Flushing,10138P,Regular Guest,Closed-Resolved,Housekeeping,SC-34485021264993711,2/7/2024 19:13,Toilet Not Flushing
2/7/2024,Room ,TV / Room Controls,14014P,Regular Guest,Closed-Resolved,Housekeeping,SC-34485048599461387,2/7/2024 19:13,TV / Room Controls
2/7/2024,Room ,Room Safe,12310P,Regular Guest,Closed-Resolved,Housekeeping,SC-35204230346160481,2/7/2024 19:25,Room Safe
2/7/2024,Room ,Room Safe,14098S,Regular Guest,Closed-Resolved,Housekeeping,SC-35203031197831876,2/7/2024 19:25,Room Safe
2/7/2024,Room ,Room Safe,5270i,Regular Guest,Closed-Resolved,Housekeeping,SC-35196538764380776,2/7/2024 19:30,Room Safe
2/7/2024,Laundry Issue ,Damaged Laundry (low end),14070P,Regular Guest,Closed-Resolved,Housekeeping,SC-35204177565232864,2/7/2024 19:44,"2/7/24 GSA CANSU - Guest  sent message : "" Hi, during the champagne toast, the waitress spilled her tray on my white jeans. I would like to clean these pants before they stain with the red contents of the champagne. How do I go about getting them cleaned, and would you all cover the cleaning?


"
2/7/2024,Room ,Shower / Plumbing,8338S,Regular Guest,Closed-Resolved,Housekeeping,SC-32504998516759979,2/7/2024 19:54,Shower / Plumbing
2/7/2024,Room ,Survey,13018P,Regular Guest,Closed-Resolved,Guest Services,SC-34487951644656746,2/7/2024 20:01,2/7/24 GSA CANSU - Guest  called and informed that there is a strong marijuana smell in the room. GSA sent housekeeping to investigate. Guest  called again and shout she paid a lot money for the cruise and she will not stay in the room. GSA found a room for Guest s 10270Z. 
2/7/2024,Other,Other,14142P,Regular Guest,Closed-Resolved,Housekeeping,SC-35200771948410286,2/7/2024 20:10,02/07/2024 @0705pm AP/FM - RA reported the guests requested to open the partition door between the rooms 14142A & 14146A.
2/7/2024,Room ,Minor Maint Issue,11042P,Regular Guest,Closed-Resolved,Housekeeping,SC-34488812933154658,2/7/2024 20:16,RA informed the FM that the guest cannot open the room when they came on board FM called security and carpenter to come and open the door for the guest. FM met the guest and wait fore security and carpenter to open the room. FM apologized to the guest. The carpenter fixed the door. 
2/7/2024,Other,Other,14162S,Regular Guest,Closed-Resolved,Housekeeping,SC-35207357163100975,2/7/2024 20:17,02/07/2024 @0800pm AP/FM - RA reported the guests are requesting to open the balcony partition doors between room 14162Z & 14158z.
2/7/2024,Room ,Room Safe,12110P,Regular Guest,Closed-Resolved,Housekeeping,SC-34489768251798668,2/7/2024 20:32,Room Safe
2/7/2024,Room ,Music,14011S,VIP2,Closed-Resolved,Guest Services,SC-35202963160876718,2/7/2024 20:41,07 Feb 2024 - RSA Gugu met the guests  outside  their during  meeting  the guests Anna mentioned that she also wants  a room with a bigger balcony. Later on they sent RSA Gugu a message  complaining about  the music  from the sail away party.
2/7/2024,Account/Billing ,Guest  Credit,13094S,Regular Guest,Closed-Resolved,Guest Services,SC-34490736307205129,2/7/2024 20:48,"02/07/24 08:40PM GSA AC: The guest approached SS and informed she booked MNVV for 3 rooms with references 777532, 764314 and 763780 but they never received their $600 SL. GSA then informed the guest that he will verify with the  shore side and will revert to her once he receives a reply. Message was sent to solutions, waiting for reply. "
2/7/2024,Account/Billing ,Other,14210S,Regular Guest,Closed-Resolved,Guest Services,SC-34490906418000338,2/7/2024 20:51,02/07/24 3PM GSA CC: Guest s came to the guest services stating that they purchased 2 splash of romance but they only see one. Guest s stated that they want to know what happened to the other charged because they paid $400.
2/7/2024,Experience Packages ,Did not meet expectation,8366S,Regular Guest,Closed-Resolved,Guest Services,SC-35204615505041864,2/7/2024 20:57,"GSA Virgil 8:54PM 2.7- guest approached ss desk with their friends from 8370A asking to cancel their splash of romance package as their friends was canceled prior to cruise due to some system error. Guest  wanted to have this so they all would have it together. I explained to the guest that we are unable to cancel this for him. Saying that, his friends were offered spa passes and attendance to cocktail party so they all can go together. Guest  was informed that we are unable to cancel this, however he wanted manager to review it. Their friends related case SC-35186541358327085"
2/7/2024,Internet Connection ,Other,9190P,VIP3,Closed-Resolved,Guest Services,SC-35210438396526900,2/7/2024 21:08,02/07/24 @19:00 GSA Barbara: Guest  came to SS saying they have the Premium Wifi included but they only have the option to buy it. Guest  is VIP
2/7/2024,Account/Billing ,Guest  Credit,13054S,Regular Guest,Closed-Resolved,Guest Services,SC-35204940097975926,2/7/2024 21:14,02/07/24 8PM GSA CC: Guest s came to the guest services stating that they are missing $300 SL that they are supposed to have.
2/7/2024,Room ,Shower / Plumbing,14290S,Regular Guest,Closed-Resolved,Housekeeping,SC-34493310138868186,2/7/2024 21:31,Shower / Plumbing
2/7/2024,Account/Billing ,Guest  Credit,11142P,Regular Guest,Closed-Resolved,Guest Services,SC-34493724213875746,2/7/2024 21:38,"02/07/24 5:18PM /  BK 1094860 / Room 11142A / Guest  is claiming to have the 50$ promotional. // Solutions update: I was actually about to add because I noticed they do not have DBE on their booking at all. So please honor the DBE, because Christopher is a sea-blazer. 
The $125 (not $50) is what he gets for purchasing a BT. Now, they will get an additional $100 for the DBE. I hope that helps ??"
2/7/2024,Dining Experience ,Issue w Venue Availability,13050P,VIP2,Closed-Resolved,Restaurant,SC-32511320253003175,2/7/2024 21:39,Guest s have a reservation for a group of 15 and were seated in PDR2. Guest s refused to sit in two separate tables in PDR and wanted to combined the tables as one long table. 
2/7/2024,Dining Experience ,Issue w Venue Availability,10358P,Regular Guest,Closed-Resolved,Restaurant,SC-35213040057031281,2/7/2024 21:42,"Guest s have a reservation for 2, however, they met two more guests and wanted to join them.  Venue was full at that time and only for tables for 2 were available for reservation."
2/7/2024,Account/Billing ,Guest  Credit,11178i,Regular Guest,Closed-Resolved,Guest Services,SC-35204694982970498,2/7/2024 21:45,"2/7/24 9:45pm GSA - BK 1013271 / Room 11178M is claiming to have the 300USD SL MNFV applied to this cruise. Guest  shared with us she has two profiles and when she book this one , the person who assist her ""merged the profiles"" 
Guest  shared with us the following screenshot, checking seaware I found the following . 
Can you be so kind to take a look deeply and advise if we can honor the SL on this currently cruise?  / No update from solutions at this time"
2/7/2024,Room ,Minor Maint Issue,11030P,Regular Guest,Closed-Resolved,Housekeeping,SC-35213119138117255,2/7/2024 21:53,Guest  was stuck outside the room
2/7/2024,Room ,Minor Maint Issue,11046P,Regular Guest,Closed-Resolved,Housekeeping,SC-35213180244877021,2/7/2024 21:54,The main door was not locking
2/7/2024,Room ,Survey,5258i,Regular Guest,Closed-Resolved,Housekeeping,SC-34494728618707620,2/7/2024 21:54,Guest  reported to SS to clean the room
2/7/2024,Bar Experience ,Survey,12273P,VIP2,Closed-Resolved,Bars,SC-35214643834512346,2/7/2024 22:09,"Q: How was your bar experience?, A: 1
Q: Knowledge of the crew?, A: 5
Q: Quality of the drinks?, A: 1
Q: Menu choices?, A: 1
Q: Not finished? Tell us everything!, A: NA
"
2/7/2024,Dining Experience ,Survey,14042i,Regular Guest,Closed-Resolved,Restaurant,SC-34495605732460863,2/7/2024 22:09,"Q: How was your dining experience?, A: 1
Q: Quality of the drinks?, A: 5
Q: Menu choices?, A: 5
Q: Vibe of the restaurant?, A: 4
Q: Not finished? Tell us everything!, A: Service wasn’t great. Server kept forgetting to give me my order. Very slow as well. 
"
2/7/2024,Dining Experience ,Survey,12018S,Regular Guest,Closed-Resolved,Restaurant,SC-35215058986324136,2/7/2024 22:16,"Q: How was your dining experience?, A: 3
Q: Menu choices?, A: 3
Q: Vibe of the restaurant?, A: 2
Q: Quality of the food?, A: 3
Q: Not finished? Tell us everything!, A: It was fine. 
"
2/7/2024,Embarkation ,Survey,11326S,Regular Guest,Closed-Resolved,Guest Services,SC-35215310798920998,2/7/2024 22:20,"Q: Welcome Guest ! How did you find coming aboard?, A: 2
Q: Luggage handling?, A: 5
Q: Check in process?, A: 5
Q: Vibe at the terminal?, A: 5
Q: Not finished? Tell us everything!, A: NA
"
2/7/2024,Dining Experience ,Food,14018S,Regular Guest,Closed-Resolved,Restaurant,SC-35213534652745479,2/7/2024 22:20,GSA Virgil 10:17PM- Guest  has very severe celiac disease and they are struggling to find any food hat would be non contaminated by gluten. Guest  tried few restaurants however food was contaminated. They would like to speak with someone who can assist them with this matter. Guest  informed me that they are able to meet manager tomorrow (key west). Guest  will be free to meet at around 5PM. 
2/7/2024,Room ,Room Safe,12310P,Regular Guest,Closed-Resolved,Housekeeping,SC-35211444206416360,2/7/2024 22:38,Room Safe
2/7/2024,Account/Billing ,Bar Credit,9354P,Regular Guest,Closed-Resolved,Guest Services,SC-35208125342270187,2/7/2024 22:43,02/07/24 @22:30 GSA Barbara: Guest  came to SS saying they are missing 525$ in BT. 
2/7/2024,Bar Experience ,Survey,8050P,Regular Guest,Closed-Resolved,Bars,SC-34497782292317481,2/7/2024 22:45,"Q: How was your bar experience?, A: 2
Q: Quality of the drinks?, A: 3
Q: Menu choices?, A: 3
Q: Service?, A: 3
Q: Not finished? Tell us everything!, A: NA
"
2/7/2024,Room ,Noise / Vibration,11162S,Regular Guest,Closed-Resolved,Guest Services,SC-34497816506075916,2/7/2024 22:46,02/07/2024/ GSA IRINA/ 11:21 pm/ Guest s reporting loud music coming from the neighbours. 
2/7/2024,Dining Experience ,Food,5254P,Regular Guest,Closed-Resolved,Restaurant,SC-35211472330694668,2/7/2024 22:51,"Guest  were having dinner in GB on 02/07 the didn't report any allergies to the SV, but by the end of their dinner, when RM was approaching the table, the gentleman asked for information regarding the medical center, he stated his wife is not sure what she is allergic too, but she feel her throat slightly closing. RM spoke to the lady directly and ask them if they would like medical assistance but she stated she was fine. RM informed them they can call medical center from their room or call SS and be redirect. "
2/7/2024,Room ,Shower / Plumbing,10262i,Regular Guest,Closed-Resolved,Housekeeping,SC-35215492621226272,2/7/2024 22:53,Shower / Plumbing
2/7/2024,Dining Experience ,Service,9014P,Regular Guest,Closed-Resolved,Restaurant,SC-35211727745063854,2/7/2024 22:56,"Guest s experienced delays in receiving their food, waiting for more than 20 minutes. "
2/7/2024,Dining Experience ,Service,9011S,VIP2,Closed-Resolved,Restaurant,SC-34498826110639795,2/7/2024 23:03,"Guest  had a reservation in Korean BBQ at 6:45pm and was seated on table 16. Guest  John was upset because the wines that he ordered are not available. First he ordered Yangara, then Montes and lastly Chalk Hill. Server informed RM of the issue and called Sommelier. Sommelier then went to visit the table with a bottle of Yangara which is the last bottle in the inventory. Guest s were thankful and happy and have a leftover bottle in Korean BBQ which they will consume tomorrow."
2/7/2024,Room ,Music,8342S,Regular Guest,Closed-Resolved,Guest Services,SC-35212104765534690,2/7/2024 23:09,02/07/24 22.16pm GSA AC: The guest Melisa called SS complaining about loud music  causing vibrations in their room coming from deck below. GSA extended apologies  and advised her  that he will check for an empty room in the same category and will call them back. GSA then checked and saw that there was no XL available. GSA then called the guest back and explained that there was no XL room but however we had a central sea terrace which can accommodate the 3 pax and if they wish they could move in that room for sleeping purposes and tomorrow we check with Management with regards to solution on the room down grade as there is not other XL. Guest s then advised that they will stay in the room for tonight  as the music had stopped but will need someone to reach out to them to touch base on this issue in the morning. GSA informed the guests that a report had been created and someone will reach out to them in the morning. 
2/7/2024,Dining Experience ,Food,12210S,Regular Guest,Closed-Resolved,Culinary,SC-34499471238007323,2/7/2024 23:13,Guest s mention to  the server are allergic to the Nuts and sesame seeds. 
2/7/2024,Dining Experience ,Dining Reservations ,11026P,Regular Guest,Closed-Resolved,Restaurant,SC-35217061523439462,2/7/2024 23:24,The guests had a reservation of 5 guests and they are 9 guests. 
2/7/2024,Dining Experience ,Service,11038P,Regular Guest,Closed-Resolved,Bars,SC-32517932043008007,2/7/2024 23:29,Slow service for the drinks
2/7/2024,Room ,Room Safe,9382P,Regular Guest,Closed-Resolved,Housekeeping,SC-35213748265952325,2/7/2024 23:29,Room Safe
2/7/2024,Dining Experience ,Food,12190i,Regular Guest,Closed-Resolved,Culinary,SC-35214692365774062,2/7/2024 23:33,The guests mention the fish its dry.
2/7/2024,Luggage ,Damaged,13230S,Regular Guest,Closed-Resolved,Guest Services,SC-34500650208766950,2/7/2024 23:33,"2/7/2024 11:26 GSA Bagas : Guest  came at SS desk to bring 1  broken luggage, guest has been explained the procedure from the GSA previously, as per guest their purchased the luggage 7 months ago, luggage sets $300 for 2 luggages, brand is Samsonite. guest has been advised that our teams need to check and we will get back to the guest accordingly."
2/7/2024,Dining Experience ,Service,11238i,VIP2,Closed-Resolved,Restaurant,SC-35211244279427325,2/7/2024 23:35,"The guest got pork chick instead of porchetta because the server misunderstood the order. The Restaurant Manager apologized sincerely and invited the guest for another meal, but the guest couldn't make it due to prior plans. As a goodwill gesture, the first round of the drinks was offered at no charge."
2/7/2024,Room ,Music,8322P,Regular Guest,Closed-Resolved,Guest Services,SC-34500801581051738,2/7/2024 23:36,"02/07/24 10:11PM GSA AC: The guest sent a message on the support queue that read: ""Hi. This is our 6th or so time on the beautiful Scarlet Lady. We are forward deck 8. The noise from the club is so loud that the room is shaking. im wondering why this was not expressed to us when we booked this room. Im certain this this is not the first time you’ve heard of this complaint. If this room continues to shake from the loud bass music past tonight - we will need to switch rooms. we have stayed from suite to terrace rooms and nothing like this has happened. Very disappointed in the lack of transparency when booking such a room. GSA had also spoken to the guest over the phone when he called and then replied to the guest's message on SQ as follows: ""Ahoy William! Good evening. Arthur here from guest services. We spoke a while ago. As per our telephone conversation. We sincerely apologize for this experience and I have documented your feedback as per our conversation and I have escalated it to our Manager who will reach out to you in the morning as per request."""
2/7/2024,Room ,Air Conditioning,9266i,Regular Guest,Closed-Resolved,Housekeeping,SC-35218114329765121,2/7/2024 23:36,Air Conditioning
2/7/2024,Dining Experience ,Service,9034S,Regular Guest,Closed-Resolved,Restaurant,SC-34500946441448694,2/7/2024 23:38,Guest s had a party of 6 guests and left with out dessert. 
2/7/2024,Bracelet ,Malfunction,14110P,Regular Guest,Closed-Resolved,Housekeeping,SC-34501242328735130,2/7/2024 23:43,"2/7/24 GSA Adeliya - Guest s approaching the SS stated that they cannot open the room because it's showing a red light. GSA changed the bracelet and called security and a carpenter on duty to check the door lock. Guest  Denise Paz refused to take the new bracelet and told GSA that her husband is mad standing in front of the door  and asked to send a message to her husband that security is on the way to open the room. GSA wanted to write a message through the app, however Guest  requested to write a message on his personal phone GSA explained to the Guest  that we don't have the option to write messages to personal phone. Guest  was unhappy with the answer and told GSA that she will bring her husband here and he will be yelling. Guest  MARK PAZ approach with security to SS desk GSA give him new bracelets for him and his wife. Guest  asks for compensation GSA informs Guest  that we can send bottles of bubbles to the room. Guest  thanked and left.  "
2/7/2024,Dining Experience ,Service,13290S,Regular Guest,Closed-Resolved,Restaurant,SC-34501648777330564,2/7/2024 23:50,The guests didn't had a reservation in PA and there reservation was on RD and shows already been seating in that venue. We accommodated them  in our venue . The guests didn't look happy and not communicative during there meal to us. 
2/7/2024,Dining Experience ,Survey,9266i,Regular Guest,Closed-Resolved,Restaurant,SC-35220845793538260,2/7/2024 23:52,"Q: How was your dining experience?, A: 2
Q: Friendliness of the crew?, A: 4
Q: Quality of the food?, A: 2
Q: Quality of the drinks?, A: 2
Q: Not finished? Tell us everything!, A: NA
"
2/7/2024,Room ,Noise / Vibration,9108S,Regular Guest,Closed-Resolved,Guest Services,SC-34501824610694905,2/7/2024 23:53,02/07/2024/ GSA IRINA/ 20:00/ Guest s complained regarding noise coming from the Dock House.
2/7/2024,Room ,Balcony Condition,13302P,Regular Guest,Closed-Resolved,Deck,SC-35262142381772366,2/8/2024 13:03,"Guest  wanted to open the balcony partition door along with 13306A, 13310A,13314A, 13318A, 13294A, 13298A"
2/7/2024,Room ,Minor Maint Issue,14086P,Regular Guest,Closed-Resolved,Housekeeping,SC-35259854683047797,2/8/2024 13:05,Smoking on the balcony and a steamer found in the room
2/7/2024,Room ,Balcony Condition,13158S,Regular Guest,Closed-Resolved,Deck,SC-34549484841081349,2/8/2024 13:07,Guest  wanted to open the balcony partition door along with 13162z
