Voyage_Start_Date,Incident_Category,Incident_Subcategory,Room_Number,Guest_Type,Status,Department,Reference_Id,Added_Date,Description,Latest_Comment,Resolution_Details
2/7/2024,Account/Billing ,Onboard Credit Not Applied,11182M,Regular Guest,Closed-Resolved,Sailor Services,SC-35183249216043160,2/7/24 3:08 PM,2/7/24 03:07PM HDA VB: Sailor approached SS stating  he filled out access key form however the credit never showed up on sailor`s account. Nothing on sea ware or VR. Sailor also stated he is a sea blazer and he sailed with us since the first ship has been launched.HDA advised sailor the case will be documented.,"2/7/24 0617 PM HDA VB: @Vasilije BK 1014991 - We can honor this on our end now. Please go ahead and honor the $200 SL for them//@Vasilije BK 1014991 - also to add that this sailor sailed in 2022, and this is their second sailing. They are not a sea-blazor and do not qualify for DBE quite yet.",HDA VB advised finance team to honor $200 SL 
2/7/2024,Special Request ,Other,10370A,Regular Guest,Closed-Resolved,Sailor Services,SC-35188962881698787,2/7/24 3:10 PM,2/7/24 3:08pm - HDA / Sailor 10370A requested to have access to her mom cabin ( 11234M Loretta) same for grandson Cabin 11240M. Sailors mentioned they want to keep on eye because her age. HDA listened carefully and mentioned we need to verify this with supervisor ,2/7/24 3:09pm HDA approached GRPM to request the keys. Both access were provided to sailors. ,Access keys provided - document purposes 
2/7/2024,Cabin ,Survey,10074Z,Regular Guest,Closed-Resolved,Housekeeping,SC-34472593792209445,2/7/24 3:45 PM,"02/07/24 @15;45 HDA Barbara Sailor came to SS showing a photo of several medication in small pieces on the bedside table in their cabin. Sailor says cabin was unclean, they were shocked to see it, and would like to change cabins","2/3/24 @ 11:27 AM DM Nestor met the sailor and apologized for that inconvenient experienced. Sailor responded that it is alright now that they have what they want, hopefully next time is to get the suite is more better.  DM Nestor asked sailors if they have something else that's need their special attention to discuss, sailor in a positive respond that everything was great. DM ended up of wishing them a enjoyable voyage ahead and sailor thanking for the follow -up. Thank you","2/3/24 @ 11:27 AM DM Nestor met the sailor and apologized for that inconvenient experienced. Sailor responded that it is alright now that they have what they want, hopefully next time is to get the suite is more better. DM Nestor asked sailors if they have something else that's need their special attention to discuss, sailor in a positive respond that everything was great. DM ended up of wishing them a enjoyable voyage ahead and sailor thanking for the follow -up. Thank you"
2/7/2024,Cabin ,Minor Maint Issue,5226Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35189947706242271,2/7/24 3:47 PM,Sailor was assigned a cabin on deck 5 - 5222Z 02/06/24 at 6 PM however the cabin was occupied by a crew member and the double occupancy was noticed at 1 PM on embarkation day 02/07/24,Sailor was moved to 5226Z as his original cabin would not be ready for his embarkation - sailor approached the desk around 3 PM to ask to be placed on the upgrade cabin list - HDM advised HDA Barbara that we could provide it complimentary due to the inconvenience of the situation ,02/08/24 08:12 HDM sailor was moved to 10074Z
2/7/2024,Account/Billing ,Onboard Credit Not Applied,10022Z,Regular Guest,Closed-Resolved,Sailor Services,SC-34472733910318484,2/7/24 3:48 PM,2/7/24 3:47 PM HDA VB: Sailors approached SS  stating they are sea blazers however i do not see any credits  being applied on their accounts. HDA advised sailors the case will be documented.,02/11/24 08:56am HDA AC: The sailor came to dispute the Wifi charge as she has the DBE. HDA informed the HDM to remove the charge for wifi.,HDA advised finance team to honor DBP for both sailors
2/7/2024,Cabin ,Cabin Safe,13190Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35183518699709445,2/7/24 3:53 PM,Cabin Safe,,Safe has been reset in front of the sailor
2/7/2024,Cabin ,Cabin Safe,14126Z,Regular Guest,Closed-Resolved,Housekeeping,SC-34473641055740079,2/7/24 4:03 PM,Cabin Safe,"02/07/2024 @0430pm AP/DM - DM went to assist the sailors for their safe, but the sailors were not in the cabin.",02/07/2024 @0740pm AP/DM - DM went and assisted the sailors for their safe as the pin was left out.
2/7/2024,Special Request ,Other,15339Z,VIP1,Closed-Resolved,Sailor Services,SC-32491144962070231,2/7/24 4:03 PM,"02/07/24 15:47 GRM: Group Leader Tammy, sailor approached SS to request to provide an access from her Suite to her daughter Allison Whiting 8204M since her Mega Rockstar agent advise her to requested at SS. GRM provide the access key and advise MRM of the same",,Access key from 15339Z provided to 8204M
2/7/2024,Embarkation ,Survey,12243Z,VIP2,Closed-Resolved,Sailor Services,SC-35194378805280851,2/7/24 4:40 PM,"Feb 7th around 14:30 RSM approached the Sailors during welcome event and offered some assistance. Sailors wanted to meet their RSA and fix dining reservations. RSM informed who their RSA was and they could have a seat untill she would check on them, in the meantime RSM took the Sailors to RS to fix their dining. A couple of minutes later RSM saw the Sailors heading to the elevators and followed up asking if all was fixed. Sailor Hugh promptly said:- Yes, it's all fine. However, Sailor Kimberly promptly said:- No, not at all. Both Sailors left. RSM gave the heads up to their RSA to follow up. ","02/07 RSA Mel met with Sailors at Sip lounge and assisted with Rockstar info and show bookings, took mini bar swop as well.",Met sailors
2/7/2024,Pre Boarding ,Check,10188M,Regular Guest,Closed-Resolved,Sailor Services,SC-32494320787161333,2/7/24 4:56 PM,HDM met with sailors Lamont and Crystal who expressed their disappointment that they were never contacted back by the media team shore side regarding their request,"02/08/24 08:13 HDM as per shore side confirmation "" we responded to her through our media inbox telling her to fill out the influencer form, but didn’t promise any upgrades or influencer perks at any time. "" // nothing further unless sailors approach","02/08/24 08:13 HDM as per shore side confirmation "" we responded to her through our media inbox telling her to fill out the influencer form, but didn’t promise any upgrades or influencer perks at any time. "" // nothing further unless sailors approach "
2/7/2024,Luggage ,Damaged,10034A,Regular Guest,Closed-Resolved,Sailor Services,SC-35194310892803205,2/7/24 5:00 PM,"2/7/24 HDA Adeliya - Sailor via SQ ""My suitcase arrived at room damaged"" HDA asks Sailor to bring luggage to SS 


",2/8/24 HDA Adeliya - As per HDM we can honor 50$ refundable Sailor Loot HDA informed Sailors they accepted SL HDA send message to accounting team to post SL on the account,Refundable SL posted to the account 
2/7/2024,Luggage ,Damaged,12086A,Regular Guest,Closed-Resolved,Sailor Services,SC-35195629236621688,2/7/24 5:01 PM,Luggage has a crack by the wheel ,Picture is attached ,Nothing further unless sailor approaches 
2/7/2024,Luggage ,Damaged,8222A,Regular Guest,Closed-Resolved,Sailor Services,SC-35194153026917479,2/7/24 5:02 PM,Luggage has a damaged handle,Picture is attached,Nothing further unless sailor approaches the desk 
2/7/2024,Luggage ,Damaged,13026A,Regular Guest,Closed-Resolved,Sailor Services,SC-35190592585162085,2/7/24 5:03 PM,Luggage has a crack in it ,Picture is attached,Nothing further unless sailor approaches the desk 
2/7/2024,Luggage ,Damaged,9102Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35187839845086598,2/7/24 5:05 PM,Luggage has a crack in it,Picture is attached,Nothing further unless sailor approaches the desk 
2/7/2024,Luggage ,Damaged,13030Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35190770670583240,2/7/24 5:06 PM,Luggage has a damaged wheel,Picture is attached,Nothing further unless sailors approach 
2/7/2024,Cabin ,Cabin Safe,10026A,Regular Guest,Closed-Resolved,Housekeeping,SC-34477456029308509,2/7/24 5:07 PM,Cabin Safe,"2/7/2024 DM Nestor
DM opened the safe for the sailor",
2/7/2024,Luggage ,Damaged,5190Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35188017897170711,2/7/24 5:08 PM,Luggage has a damaged handle ,"02/09/24 11:49 HDM met with sailor Tania who expressed that this experience has caused her mental trauma and she feels that she was been pressured into accepting a resolution that she does not want and that she has been made to feel as if the team want her to just go away and be happy with what has been offered // HDM apologized that she feels this way - HDM  advised that we had provided multiple resolutions which she has chosen not to accept and that the luggage offered was all we had on board / the sailor asked why no one had gone out in Key West to purchase her a new luggage as she expected more from Virgin Voyages - HDM asked the sailor if she had travelled on another cruise lines before and that the resolutions provided were not given by other lines - HDM advised we had offered a credit based on the amount provided to her by us so that she may purchase a new luggage as well as additional luggage to assist her, HDM advised that she had worked on other lines and these resolutions were not given - HDM assured that we were doing our best to provide her with what she had asked // As per the sailor she placed under pressure to give a price and due to her Parkinson's she had bad memory so she just provided a price of 50$ however yesterday she had googled luggage's and gotten the same coloured luggage of the price 230$-270$ - HDM Advised these prices were not based on the brand of the luggage only a similar colour // HDM apologized and advised that the resolutions were given and the sailor refused again // HDM advised that she could use her voyage protection to receive a new piece of luggage and provided the sailor with the sailor solution letter + explained it to her // sailor was explained the disembarkation  processes and sailor left","02/09/24 11:49 HDM met with sailor Tania who expressed that this experience has caused her mental trauma and she feels that she was been pressured into accepting a resolution that she does not want and that she has been made to feel as if the team want her to just go away and be happy with what has been offered // HDM apologized that she feels this way - HDM  advised that we had provided multiple resolutions which she has chosen not to accept and that the luggage offered was all we had on board / the sailor asked why no one had gone out in Key West to purchase her a new luggage as she expected more from Virgin Voyages - HDM asked the sailor if she had travelled on another cruise lines before and that the resolutions provided were not given by other lines - HDM advised we had offered a credit based on the amount provided to her by us so that she may purchase a new luggage as well as additional luggage to assist her, HDM advised that she had worked on other lines and these resolutions were not given - HDM assured that we were doing our best to provide her with what she had asked // As per the sailor she placed under pressure to give a price and due to her Parkinson's she had bad memory so she just provided a price of 50$ however yesterday she had googled luggage's and gotten the same coloured luggage of the price 230$-270$ - HDM Advised these prices were not based on the brand of the luggage only a similar colour // HDM apologized and advised that the resolutions were given and the sailor refused again // HDM advised that she could use her voyage protection to receive a new piece of luggage and provided the sailor with the sailor solution letter + explained it to her // sailor was explained the disembarkation  processes and sailor left  // HDM offered a 100$ from her to receive  as onboard refundable credit  and advised that she could receive it in cash at any  point if she needs  it  or she can leave it on her account "
2/7/2024,Cabin ,Cabin Safe,11046A,Regular Guest,Cancelled,Housekeeping,SC-35190418225571938,2/7/24 5:17 PM,Cabin Safe,,
2/7/2024,Cabin ,Cabin Safe,11174A,Regular Guest,Closed-Resolved,Housekeeping,SC-35191139768180539,2/7/24 5:20 PM,Cabin Safe,"2/7/2024 DM Linda
DM opened the safe for the sailor",DM opened the safe for the sailor
2/7/2024,Cabin ,Cabin Safe,13158Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35191131832076049,2/7/24 5:20 PM,Cabin Safe,safe has been opened in the presence of sailor,safe has been opened
2/7/2024,Other,,14322A,Regular Guest,Closed-Resolved,Housekeeping,SC-35191809907258237,2/7/24 5:24 PM,02/07/2024 @0500pm AP/DM - CH reported that the sailors want to open the balcony partition door  between the cabin 14322A & 14326A.,02/07/2024 @0500pm AP/DM - DM got the wavier form signed and the Bosun team was reported.  Team opened the balcony partition doors between 14322A & 1436A.,02/07/2024 @0500pm AP/DM - DM got the wavier form signed and the Bosun team was reported.  Team opened the balcony partition doors between 14322A & 1436A.
2/7/2024,Cabin ,Balcony Condition,11062Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35191876328299465,2/7/24 5:32 PM,The sailor from 11058z and 11062z requests to open balcony partition,,
2/7/2024,Cabin ,Balcony Condition,11126A,Regular Guest,Closed-Resolved,Housekeeping,SC-34479118034616795,2/7/24 5:34 PM,Sailor from 11126a and 11130a request for the partition to open,,
2/7/2024,Luggage ,Damaged,8326Z,Regular Guest,Closed-Resolved,Sailor Services,SC-34479187219336390,2/7/24 5:35 PM,Luggage has a damaged wheel,Picture is attached ,Nothing further unless sailor approaches 
2/7/2024,Cabin ,Balcony Condition,11346A,Regular Guest,Closed-Resolved,Housekeeping,SC-35193322712926501,2/7/24 5:36 PM,The sailor from 11346a 11350a request for the balcony partition to be opened,,
2/7/2024,Account/Billing ,Bar Loot,12042A,Regular Guest,Closed-Resolved,Sailor Services,SC-35198658716563290,2/7/24 5:52 PM,02/07/24 05:47PM HDA AC: The sailors approached SS reported that they had problems with our App to add their BT. They said that the called the Customer service shore side and could not connect and were on hold so long and when they finally connected they were told it was too late to add BT. They were not happy as their friend who also faced the same problem in cabin 12034A was granted the BT and it was added. HDA extended apologies and advised that once the sailors spent the $200 on drinks we will add a bonus bt of $25 on their account . Sailors agreed and were happy.,,Sailors are to spend $200 on drinks and we will add to their account a bonus of $25 BT
2/7/2024,Internet Connectivity ,No Connectivity (All cruise),10134A,Regular Guest,Closed-Resolved,Sailor Services,SC-35197921394231225,2/7/24 6:00 PM,2/7/24 HDA Adeliya - Sailor purchase wi-fi accidently ,,wifi voided 
2/7/2024,Account/Billing ,Other,13082A,Regular Guest,Closed-Resolved,Sailor Services,SC-32498685251745177,2/7/24 6:08 PM,02/07/24 Embarkation day GRM Angelica: 35387 Final Touch Roofing is presenting discrepancies in the loots/BT posted. email has been sent to Christopher Hunt (shoreside) for a further review. This has been logged for document purposes ,"BK 988744 - showed $2800 Gifted Sailor Services Loot 
BK 988741 - showed $3000 Gifted Sailor Services Loot",Loots reconciliation has been completed 
2/7/2024,Dining Experience ,Food,12330Z,Regular Guest,Closed-Resolved,Restaurant,SC-32498860939891395,2/7/24 6:11 PM,"02/07/24 @17:00 HDA Barbara: Sailor Dorothy came to SS saying has severe food allergy to the following: Gluten, sugar, sweeteners, tomatoes, peppers, any red pepper, cayenne, paprika, cloves, peanuts. She is in the Special Needs form. Sailor would like to know what we can do for her in Bimini as she knows there are restricted options there.","2/9/24 HDA Adeliya - Sailor approach to the SS desk complain that it's nothing in the menu that she can eat, Sailor expecting to have spatial menu only for her at the restaurants. HDA apologized to the Sailor and called restaurant operation manager","On 02/09/2024 @11:30 am QSM Hamed visited Dorothy and Scott at SS to assist. QSM gave an ear and showed empathy to Sailors frustration. Sailors requested to speak with Razzle Dazzle Chef Mario which RS Tarryn  accommodated and escorted them to meet the Chef which Chef Mario explained and assisted in regards of tonight dinner in Razzle. QSM Hamed offered them Brunch in Razzle for today which they gladly accepted, Chef Mario was called and assisted with the food. Sailors also were concerning in regards of what they can eat in Bimini, QSM Hamed assisted with takinh the order and he will ensure Chef Owen is informed and service as requested will be provided on the Island.  2x ( Plain Chicken Breast no seasoning, plain white rice, corn no seasoning and water melon salad )  In regards of tomorrow dinner reservation and food we will communicate with Gunbea team and ensure meeting Sailors expectations. Sailors were very happy with the follow up appreciating the extra care and attention. "
2/7/2024,Experience Packages ,Missing Perk,11022A,Regular Guest,Closed-Resolved,Sailor Services,SC-34481552248187223,2/7/24 6:15 PM,"02/07/2024 HDA JKG. 11022A
BK. 1060994
Sailor claims he is missing 300$ BT + 50$ Extra? 
he purchased this special last week. 
Please verify. 
Thankyou. 
X
S2S - Sailor did not pay fo rthe BT so it was removed from the booking","02/08/24 08:15 HDM as per S2S ""Sailor did not pay for the BT so it was removed from the booking
""",02/09/24 08:10 HDM SQ sent to both sailors advising them of the information provided by S2S
2/7/2024,Internet Connectivity ,Other,13078A,Regular Guest,Closed-Resolved,Sailor Services,SC-34481638653033145,2/7/24 6:16 PM,"5:21pm 2/7/2024 HDA SB - Sailor purchased premium wifi by mistake, would like to cancel it",5:21pm 2/7/2024 HDA SB - HDM informed to have the charged removed,Sailor infomred
2/7/2024,Luggage ,Damaged,8042A,Regular Guest,Closed-Resolved,Sailor Services,SC-34481624640749896,2/7/24 6:16 PM,Luggage has a damaged wheel,Picture is attached ,Nothing further unless sailors approach 
2/7/2024,Internet Connectivity ,Internet Not Good Enough,9011Z,VIP2,Closed-Resolved,Sailor Services,SC-35199186923888472,2/7/24 6:21 PM,02/07/2024 16:00 RSA LH: Sailors purchased the premium wifi in error. RSA mentioned the charge will be removed and they will have to log back onto the basic package. ,,02/07/2024 18:00 RSA LH: There was no wifi charge on sailors account. Sailors has been informed as well.
2/7/2024,Cabin ,Cabin Safe,8022A,Regular Guest,Closed-Resolved,Housekeeping,SC-34482169263423757,2/7/24 6:25 PM,Cabin Safe,,V log is for documenting purposes and comments were passed to the relevant department 
2/7/2024,Dining Experience ,Food,10314A,Regular Guest,Closed-Resolved,Restaurant,SC-35195522143039095,2/7/24 6:26 PM,"Sailor had dinner in GB on 02/07 SV explained the menu and sailors Bearry stated she would like to have the kalbi even she had Gluten allergy. RM approached the schedule sailor and double check with her, she tham changes her mind and decided to have not marinated kalbi. ",,
2/7/2024,Loyalty Program ,Not on manifest,8011A,VIP2,Closed-Resolved,Sailor Services,SC-34482404108407065,2/7/24 6:29 PM,02/07/2024 18:00 RSA LH: Sailor Brian does not have the DBP status on his account. Solutions advised.,"02/07/2024 18:00 RSA LH: As per solutions, sailor Brian is on his first sailing and and no loyalty match was received from him. Sailors advised f the same. Sailors are fine with it. Nothing further.","02/07/2024 18:00 RSA LH: As per solutions, sailor Brian is on his first sailing and and no loyalty match was received from him. Sailors advised f the same. Sailors are fine with it. Nothing further."
2/7/2024,Dining Experience ,Food,13038Z,Regular Guest,Closed-Resolved,Restaurant,SC-35202339838904234,2/7/24 6:53 PM,"Sailor had dinner in GB on 02/07 she was sit on table 17, she had the banchan as they comes, with shrimp paste, as she stated her allergy is very light. ",For documentation purposes only ,For documentation purposes only 
2/7/2024,Cabin ,Tablet or TV Issue,11282A,Regular Guest,Closed-Resolved,Housekeeping,SC-35197870111957515,2/7/24 7:12 PM,Tablet or TV Issue,"2/7/2024 20:05 DM Linda
CH checked the tv and tablet are both working",Tv and tablet are both working
2/7/2024,Dining Experience ,Issue w Venue Availability,13178A,Regular Guest,Closed-Resolved,Restaurant,SC-35203471027941945,2/7/24 7:12 PM,"Sailors arrived at the test kitchen and were seated at a table. However, they expressed discomfort with their seating arrangement and requested to be moved to a different table of their choice. After being relocated, they made a further request to be served by a specific server who was not assigned to their section. We accommodated these requests accordingly, ensuring that their dining experience was as comfortable and enjoyable as possible.
",,RS and RM apologized for the inconvenience. 
2/7/2024,Cabin ,Toilet Not Flushing,10138A,Regular Guest,Closed-Resolved,Housekeeping,SC-34485021264993711,2/7/24 7:13 PM,Toilet Not Flushing,,2/7/2024 @ 9:39PM Plumber confirmed issue was fixed. Thank you
2/7/2024,Cabin ,Tablet or TV Issue,14014A,Regular Guest,Closed-Resolved,Housekeeping,SC-34485048599461387,2/7/24 7:13 PM,Tablet or TV Issue,02/07/2024 @0720pm AP/DM - CH went and found that sailors were in the shower.  Sailors requested to come after 30 mins to fix the same.,tv and table
2/7/2024,Cabin ,Cabin Safe,12310A,Regular Guest,Closed-Resolved,Housekeeping,SC-35204230346160481,2/7/24 7:25 PM,Cabin Safe,,Dm went to cabin but sailors not there. to follow up 
2/7/2024,Cabin ,Cabin Safe,14098Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35203031197831876,2/7/24 7:25 PM,Cabin Safe,,02/07/2024 @0735pm AP/DM - DM went and assisted the sailors for their safe as the pin was left out.
2/7/2024,Cabin ,Cabin Safe,5270M,Regular Guest,Closed-Resolved,Housekeeping,SC-35196538764380776,2/7/24 7:30 PM,Cabin Safe,,safe was working
2/7/2024,Laundry Issue ,Damaged Laundry (low end),14070A,Regular Guest,Closed-Resolved,Housekeeping,SC-35204177565232864,2/7/24 7:44 PM,"2/7/24 HDA CANSU - Sailor sent message : "" Hi, during the champagne toast, the waitress spilled her tray on my white jeans. I would like to clean these pants before they stain with the red contents of the champagne. How do I go about getting them cleaned, and would you all cover the cleaning?


","02/08/2024 @0910am AP/DM - SS reported that the sailors want to send laundry, same was collected and sent to the laundry for processing.  At 0550pm, DM contacted the assistant laundry manager to know if the laundry is ready to get delivered.  The Assistant Laundry Manager confirmed the stained laundry which was sent yesterday for the comp laundry service was delivered to the cabin.",02/08/2024 @0610pm AP/DM - DM confirmed the CH delivered the laundry to the cabin.
2/7/2024,Cabin ,Shower or Sink,8338Z,Regular Guest,Closed-Resolved,Housekeeping,SC-32504998516759979,2/7/24 7:54 PM,Shower or Sink,,V log is for documenting purposes and comments were passed to the relevant department 
2/7/2024,Cabin ,Survey,13018A,Regular Guest,Closed-Resolved,Sailor Services,SC-34487951644656746,2/7/24 8:01 PM,2/7/24 HDA CANSU - Sailor called and informed that there is a strong marijuana smell in the cabin. HDA sent housekeeping to investigate. Sailor called again and shout she paid a lot money for the cruise and she will not stay in the cabin. HDA found a cabin for Sailors 10270Z. ,"2/10/24 HDA CANSU - Last drink offered in Pink Agave and the Gunbae, sailors were thanked.","Last drink offered in Pink Agave and the Gunbae, sailors were thanked."
2/7/2024,Other,,14142A,Regular Guest,Closed-Resolved,Housekeeping,SC-35200771948410286,2/7/24 8:10 PM,02/07/2024 @0705pm AP/DM - CH reported the sailors requested to open the partition door between the cabins 14142A & 14146A.,02/07/2024 @0705pm AP/DM - DH go the waiver form signed from the sailors and message sent to bosun to the open the partition doors between 14142A & 141462A.  Same was opened.,02/07/2024 @0705pm AP/DM - DH go the waiver form signed from the sailors and message sent to bosun to the open the partition doors between 14142A & 141462A.  Same was opened.
2/7/2024,Cabin ,Minor Maint Issue,11042A,Regular Guest,Closed-Resolved,Housekeeping,SC-34488812933154658,2/7/24 8:16 PM,CH informed the DM that the sailor cannot open the cabin when they came on board DM called security and carpenter to come and open the door for the sailor. DM met the sailor and wait fore security and carpenter to open the cabin. DM apologized to the sailor. The carpenter fixed the door. ,"2/8/2024 11:30am DM Linda
DM met the sailors and delivered a bottle of bubbles as an pology, the sailor thanked for the bottle.",A bottled of bubbles was delivered to the cabin and sailor thanked for the drink
2/7/2024,Other,,14162Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35207357163100975,2/7/24 8:17 PM,02/07/2024 @0800pm AP/DM - CH reported the sailors are requesting to open the balcony partition doors between cabin 14162Z & 14158z.,02/07/2024 @0800pm AP/DM - DM got the wavier form signed and bosun team and opened the partitions doors between 14162Z & 14158Z.,02/07/2024 @0800pm AP/DM - DM got the wavier form signed and bosun team and opened the partitions doors between 14162Z & 14158Z.
2/7/2024,Cabin ,Cabin Safe,12110A,Regular Guest,Closed-Resolved,Housekeeping,SC-34489768251798668,2/7/24 8:32 PM,Cabin Safe,DM and CH went to check sailors  not there . to follow up,DM and CH went to check sailors not there . to follow up
2/7/2024,Cabin ,Music,14011Z,VIP2,Closed-Resolved,Sailor Services,SC-35202963160876718,2/7/24 8:41 PM,07 Feb 2024 - RSA Gugu met the sailors  outside  their during  meeting  the sailors Anna mentioned that she also wants  a room with a bigger balcony. Later on they sent RSA Gugu a message  complaining about  the music  from the sail away party.,"07 Feb 2024 - RSA Gugu kindly advised the sailors that she can check if we have any other Suites available once the ship sets sailors. RSA Gugu advised  the Rockstar Manager of the sailors issues with loud music above  their  Suite in 14253Z, Rockstar Manager advised RSA Gugu that 14011Z is available. RSA Gugu   advised the sailors that 14011Z is available  with towards the back of the ship and with a bigger balcony. Sailors  gladly  accepted the move, they viewed the Suite  and RSA Gugu assisted them with the move they are happy. Bands have been  updated and sailors  can enter the Suite.",Sailors are happy that they are in the new Suite.
2/7/2024,Account/Billing ,Sailor Loot,13094Z,Regular Guest,Closed-Resolved,Sailor Services,SC-34490736307205129,2/7/24 8:48 PM,"02/07/24 08:40PM HDA AC: The sailor approached SS and informed she booked MNVV for 3 cabins with references 777532, 764314 and 763780 but they never received their $600 SL. HDA then informed the sailor that he will verify with the  shore side and will revert to her once he receives a reply. Message was sent to solutions, waiting for reply. ","Reply from Solutions ""Her booking 763780 does show $600.00 MNVV sailor loot, $300.00 Bar Tab, and $150.00 gifted sailor loot.  Booking 777532 was never a placeholder, not eligible for $600.00 MNVV loot. For booking number 764314, Calvin reached out on the post above and the deets for that are on the reply to him."" (Reply for booking 764314) - ""this booking was originally an MNVV. Sailors are eligible for $600.00 Sailor loot and $300.00 discount. The promotion fell off when the sailing date was selected. Please honor $600.00 Sailor loot and let the sailor know that we added a $300.00 FVC discount for their new sailing to compensate for the $300.00 discount that was not applied to the current sailing.  It will be applied to Kelly's account.""",Sailor informed accordingly 
